Description,SourceValue,Option_Active
Month,01,W
Month,02,W
Month,03,R
Month,04,R
Month,05,R
Month,06,S
Month,07,S
Month,08,S
Month,09,F
Month,10,F
Month,11,F
Month,12,W
DayOfWeek,Mon,
DayOfWeek,Tue,
DayOfWeek,Wed,
DayOfWeek,Thu,
DayOfWeek,Fri,
DayOfWeek,Sat,
DayOfWeek,Sun,
Hour,01,N
Hour,02,N
Hour,03,N
Hour,04,N
Hour,05,N
Hour,06,D
Hour,07,D
Hour,08,D
Hour,09,D
Hour,10,D
Hour,11,D
Hour,12,D
Hour,13,D
Hour,14,D
Hour,15,D
Hour,16,D
Hour,17,D
Hour,18,D
Hour,19,P
Hour,20,P
Hour,21,N
Hour,22,N
Hour,23,N
Hour,24,N
Month,January,W
Month,February,W
Month,March,R
Month,April,R
Month,May,R
Month,June,S
Month,July,S
Month,August,S
Month,September,F
Month,October,F
Month,November,F
Month,December,W
