Region,MargPriceShare,Markup_In,Markup_Rs,Markup_Cm,Markup_Tr
AFR,0.4,6.4,12.8,11.200000000000001,16
ANZ,0.4,6.4,12.8,11.200000000000001,16
BRZ,0.4,6.4,12.8,11.200000000000001,16
CAN,0.4,6.4,12.8,11.200000000000001,16
CHI,0.4,6.4,12.8,11.200000000000001,16
CSA,0.4,6.4,12.8,11.200000000000001,16
EUR,0.4,6.4,12.8,11.200000000000001,16
IND,0.4,6.4,12.8,11.200000000000001,16
JPN,0.4,6.4,12.8,11.200000000000001,16
MID,0.4,6.4,12.8,11.200000000000001,16
MXC,0.4,6.4,12.8,11.200000000000001,16
OAS,0.4,6.4,12.8,11.200000000000001,16
RUS,0.4,6.4,12.8,11.200000000000001,16
SKO,0.4,6.4,12.8,11.200000000000001,16
URA,0.4,6.4,12.8,11.200000000000001,16
USA,0.4,6.4,12.8,11.200000000000001,16
